iter	Accuracy	Logloss
315	0.6045361407	0.6545727812
316	0.6046067971	0.6545282925
317	0.6044654843	0.6544627418
318	0.6045361407	0.6544468665
319	0.6046067971	0.6543984296
320	0.6051367201	0.6543114408
321	0.6052073765	0.6542765005
322	0.6054546739	0.6542344441
323	0.6055606585	0.6542140014
324	0.6054900021	0.6541677184
325	0.6054900021	0.6541211253
326	0.6057019713	0.6541065102
327	0.6057372995	0.6540739347
328	0.6058432841	0.65402635
329	0.6059845969	0.6540089111
330	0.6055253303	0.653952389
331	0.6055606585	0.6539296238
332	0.6059492687	0.6538734872
333	0.6058786123	0.6538093882
334	0.6061612379	0.6537881695
335	0.6060905815	0.6537278117
336	0.6062672225	0.6536887044
337	0.6064791917	0.6536523783
338	0.6065145199	0.6535642511
339	0.6065145199	0.6535356202
340	0.6067264891	0.6534856991
341	0.6065851763	0.6534219102
342	0.6067264891	0.6533744267
343	0.6067618173	0.6533686327
344	0.6069031301	0.6532983277
345	0.6069737865	0.65323252
346	0.6067971455	0.6531821808
347	0.6070091147	0.6531032546
348	0.6070091147	0.6530483916
349	0.6069384583	0.6530298627
350	0.6069031301	0.6529550581
351	0.6070091147	0.6529173926
352	0.6070444429	0.6528834428
353	0.6073977249	0.6528224171
354	0.6074330531	0.6528096577
355	0.6072210839	0.6527671813
356	0.6073977249	0.6527063599
357	0.6075390377	0.6526728921
358	0.6072917403	0.6526150087
359	0.6076096941	0.6525913939
360	0.6076803505	0.6525523598
361	0.6078569915	0.6524976234
362	0.6078569915	0.652460846
363	0.6078569915	0.6524214298
364	0.6078569915	0.6523922106
365	0.6077863351	0.6523654014
366	0.6079983042	0.6523175157
367	0.6083515862	0.6522644536
368	0.6085282272	0.6522136535
369	0.608492899	0.6521711098
370	0.6089874938	0.652113296
371	0.609022822	0.6520610526
372	0.6089521656	0.6520189717
373	0.6094467604	0.6519409297
374	0.609376104	0.6519072092
375	0.6094114322	0.6519017719
376	0.6097647142	0.6518518476
377	0.609729386	0.6518310932
378	0.6094467604	0.6518029913
379	0.609552745	0.6517548793
380	0.6095174168	0.651692288
381	0.6098353706	0.6516451573
382	0.6095174168	0.6515939187
383	0.6096234014	0.6515563829
384	0.609729386	0.6515423767
385	0.6096940578	0.6515353183
386	0.6096587296	0.6515224957
387	0.6096587296	0.6514655828
388	0.6096587296	0.6514401635
389	0.6096587296	0.6513989717
390	0.6096234014	0.6513704386
391	0.609552745	0.6512931693
392	0.6098706988	0.6512732319
393	0.6099413552	0.6512550412
394	0.6100473398	0.6512310956
395	0.610082668	0.6512046314
396	0.6101533244	0.6511599176
397	0.6100473398	0.6511195372
398	0.6100473398	0.6510712692
399	0.610082668	0.6510214463
400	0.6101533244	0.65100463
401	0.6101886526	0.6509763472
402	0.6101179962	0.6509416989
403	0.6102946372	0.6508805475
404	0.6103652936	0.6508531347
405	0.6104006218	0.6508047943
406	0.6105066064	0.6507814344
407	0.6103652936	0.6507341759
408	0.6103299654	0.6507253466
409	0.61043595	0.6506809593
410	0.6104006218	0.6506526335
411	0.6104006218	0.6506084493
412	0.6105419346	0.6505621974
413	0.6105066064	0.650537148
414	0.6105772628	0.6504813051
415	0.6106479192	0.6504520093
416	0.610612591	0.6504274207
417	0.610612591	0.6503765357
418	0.6105066064	0.6503247381
419	0.6106479192	0.6502872733
420	0.6107185756	0.6502419679
421	0.6108598884	0.6502074171
422	0.610965873	0.6501876642
423	0.6111071858	0.6501513557
424	0.6112484986	0.650102888
425	0.6112838268	0.6500671348
426	0.6113544831	0.6500377083
427	0.6113898113	0.6499926251
428	0.6114957959	0.6499772234
429	0.6116017805	0.649955045
430	0.6115311241	0.6499162951
431	0.6115311241	0.6498272235
432	0.6114604677	0.6498104877
433	0.6114251395	0.6497718531
434	0.6114957959	0.6497509163
435	0.6115664523	0.6496919534
436	0.6115664523	0.6496535005
437	0.6117077651	0.649622928
438	0.6117784215	0.6496020325
439	0.6117430933	0.6495621714
440	0.6116371087	0.6495416497
441	0.6116371087	0.6495325938
442	0.6117784215	0.6494810609
443	0.6118844061	0.6494297281
444	0.6118844061	0.6494069407
445	0.6119197343	0.6493858633
446	0.6119903907	0.6493627319
447	0.6119197343	0.6493101845
448	0.6119550625	0.6492853837
449	0.6120963753	0.649266515
450	0.6120963753	0.6492325954
451	0.6120610471	0.6492074325
452	0.6119903907	0.6491885033
453	0.6120963753	0.6491663245
454	0.6122023599	0.6491512062
455	0.6121670317	0.6491345761
456	0.6120963753	0.6490753171
457	0.6121670317	0.6490207072
458	0.6124143291	0.6489807215
459	0.6124143291	0.6489154902
460	0.6125203137	0.6488944105
461	0.6125556419	0.6488570381
462	0.6126616265	0.6488250596
463	0.6126969547	0.648793408
464	0.6125909701	0.6487708648
465	0.6125203137	0.6487268844
466	0.6125556419	0.6486935575
467	0.6125909701	0.6486879717
468	0.6126969547	0.6486586489
469	0.6129089239	0.6486283453
470	0.6130149085	0.6485829522
471	0.6129795803	0.6485644397
472	0.6132268777	0.6485161748
473	0.6132622059	0.6484702184
474	0.6133328623	0.6484426775
475	0.6131208931	0.6483936977
476	0.6133328623	0.6483672066
477	0.6134741751	0.6483341831
478	0.6135801597	0.6482849569
479	0.6137568007	0.6482653892
480	0.6136861443	0.6481980381
481	0.6136154879	0.6481547513
482	0.6135095033	0.6481266465
483	0.6136154879	0.6480851097
484	0.6135095033	0.6480652312
485	0.6135801597	0.6480048804
486	0.6137214725	0.647956488
487	0.6135801597	0.6479161412
488	0.6134741751	0.6478724357
489	0.6135801597	0.6478411424
490	0.6136861443	0.6478042526
491	0.6136861443	0.6477651193
492	0.6136154879	0.6477143356
493	0.6136154879	0.6476641455
494	0.6136861443	0.6476219622
495	0.6138627853	0.6475701786
496	0.6143573801	0.6475027251
497	0.6142513955	0.6474878827
498	0.6144986929	0.6474221653
499	0.6143927083	0.6474011719
