"season","posteam","pass_attempts","rush_attempts","pass_yards","rush_yards","pass_run_ratio","third_down_attempts","third_down_conversions","fourth_down_attempts","fourth_down_conversions","total_late_attempts","total_late_conversions","conversion_rate","dropbacks","sacks","sack_rate","success_plays","total_plays","success_rate"
2016,"CHI",628,375,4139,1742,1.67466666666667,190,71,14,4,204,75,0.367647058823529,628,28,0.0445859872611465,442,1003,0.440677966101695
2016,"CIN",657,419,4206,1777,1.56801909307876,221,92,9,7,230,99,0.430434782608696,657,41,0.0624048706240487,487,1076,0.452602230483271
2016,"CLE",695,330,3693,1714,2.10606060606061,223,86,19,14,242,100,0.413223140495868,695,66,0.0949640287769784,402,1025,0.39219512195122
2016,"DAL",612,496,4101,2557,1.23387096774194,208,92,9,8,217,100,0.460829493087558,612,30,0.0490196078431373,542,1108,0.489169675090253
2016,"DEN",674,387,3914,1502,1.74160206718346,235,85,16,9,251,94,0.374501992031873,674,40,0.0593471810089021,435,1061,0.409990574929312
2016,"DET",738,339,4532,1368,2.17699115044248,222,98,12,7,234,105,0.448717948717949,738,40,0.0542005420054201,484,1077,0.449396471680594
2016,"GB",889,381,5449,1982,2.33333333333333,264,123,22,11,286,134,0.468531468531469,889,45,0.0506186726659168,584,1270,0.459842519685039
2016,"HOU",748,497,3783,2104,1.50503018108652,275,104,26,12,301,116,0.385382059800664,748,35,0.0467914438502674,512,1245,0.411244979919679
2016,"IND",716,358,4491,1646,2,210,99,19,8,229,107,0.467248908296943,716,44,0.0614525139664804,494,1074,0.459962756052142
2016,"JAX",742,366,3925,1638,2.02732240437158,235,87,18,8,253,95,0.375494071146245,742,34,0.045822102425876,459,1108,0.414259927797834
2016,"KC",667,391,4086,1829,1.70588235294118,230,89,16,12,246,101,0.410569105691057,667,33,0.0494752623688156,451,1058,0.426275992438563
2016,"LA",634,362,3313,1262,1.75138121546961,225,76,20,8,245,84,0.342857142857143,634,49,0.0772870662460568,364,996,0.365461847389558
2016,"LAC",658,402,4386,1516,1.63681592039801,211,93,12,6,223,99,0.443946188340807,658,36,0.0547112462006079,451,1060,0.425471698113208
2016,"LV",735,435,4298,2017,1.68965517241379,251,95,18,10,269,105,0.390334572490706,735,21,0.0285714285714286,499,1170,0.426495726495726
